"response_id","prompt_id","entity","run_id","ranking_position","description_length_tokens"
"P006__llama-large__run_5","P006","dar el jeld","run_5","3.0","407"
"P006__llama-large__run_5","P006","le restaurant de la kasbah","run_5","4.0","42"
"P006__llama-large__run_5","P006","el ali","run_5","5.0","180"
"P007__llama-small__run_1","P007","café des nattes","run_1","1.0","60"
"P007__llama-small__run_1","P007","mama's","run_1","2.0","59"
"P007__llama-small__run_1","P007","la kasbah","run_1","3.0","64"
"P007__llama-small__run_1","P007","le central","run_1","4.0","65"
"P007__llama-small__run_1","P007","le brik palace","run_1","5.0","59"
"P007__llama-small__run_1","P007","la maison de la kasbah","run_1","6.0","61"
"P007__llama-small__run_1","P007","le grand vefour","run_1","7.0","63"
"P007__llama-small__run_1","P007","le café du centre","run_1","8.0","55"
"P007__llama-small__run_1","P007","la maison du brik","run_1","9.0","403"
"P007__llama-small__run_1","P007","le brik express","run_1","10.0","121"
"P007__llama-small__run_2","P007","restaurant el hana","run_2","1.0","69"
"P007__llama-small__run_2","P007","café des nattes","run_2","2.0","60"
"P007__llama-small__run_2","P007","restaurant al ksar","run_2","3.0","57"
"P007__llama-small__run_2","P007","le café de la paix","run_2","4.0","104"
"P007__llama-small__run_3","P007","al dar","run_3","1.0","87"
"P007__llama-small__run_3","P007","la kasbah","run_3","2.0","64"
"P007__llama-small__run_3","P007","café des nattes","run_3","3.0","60"
"P007__llama-small__run_3","P007","dar el jeld","run_3","4.0","50"
"P007__llama-small__run_4","P007","la medina","run_4","2.0","65"
"P007__llama-small__run_4","P007","bistro du forum","run_4","3.0","56"
"P007__llama-small__run_4","P007","la kasbah","run_4","4.0","64"
"P007__llama-small__run_4","P007","le brik","run_4","5.0","101"
"P007__llama-small__run_4","P007","el mouradi","run_4","6.0","64"
"P007__llama-small__run_4","P007","le grand café de la paix","run_4","7.0","56"
"P007__llama-small__run_4","P007","la soukra","run_4","8.0","114"
"P007__llama-small__run_5","P007","brik en tunisie","run_5","1.0","80"
"P007__llama-small__run_5","P007","le brik & co","run_5","2.0","69"
"P007__llama-small__run_5","P007","chez amira","run_5","3.0","59"
"P007__llama-small__run_5","P007","le café de la paix","run_5","5.0","104"
"P007__qwen-medium__run_1","P007","brik el khadra","run_1","1.0","1259"
"P007__qwen-medium__run_1","P007","brik de carthage","run_1","2.0","1171"
"P007__qwen-medium__run_1","P007","brik el medina","run_1","3.0","958"
"P007__qwen-medium__run_1","P007","brik el jazira","run_1","4.0","738"
"P007__qwen-medium__run_1","P007","brik 70","run_1","5.0","547"
"P007__qwen-medium__run_2","P007","le marché du brik","run_2","1.0","237"
"P007__qwen-medium__run_2","P007","la fontaine","run_2","2.0","190"
"P007__qwen-medium__run_2","P007","le jardin","run_2","3.0","633"
"P007__qwen-medium__run_2","P007","brik & co","run_2","4.0","200"
"P007__qwen-medium__run_3","P007","le brik de la medina","run_3","1.0","1478"
"P007__qwen-medium__run_3","P007","brik el khadra","run_3","2.0","1259"
"P007__qwen-medium__run_3","P007","la maison du brik","run_3","3.0","403"
"P007__qwen-medium__run_3","P007","dar essaffar","run_3","4.0","931"
"P007__qwen-medium__run_3","P007","chez ali","run_3","5.0","768"
"P007__qwen-medium__run_3","P007","souk el berberia","run_3","6.0","637"
"P007__qwen-medium__run_3","P007","café de france","run_3","7.0","489"
"P007__qwen-medium__run_4","P007","brik el mokhles","run_4","1.0","1353"
"P007__qwen-medium__run_4","P007","brik el khadra","run_4","2.0","1259"
"P007__qwen-medium__run_4","P007","le jardin","run_4","3.0","633"
"P007__qwen-medium__run_4","P007","café de paris","run_4","4.0","505"
"P007__qwen-medium__run_5","P007","dar hana","run_5","","1181"
"P007__qwen-medium__run_5","P007","le jardin","run_5","","633"
"P007__qwen-medium__run_5","P007","café des épices","run_5","","889"
"P007__qwen-medium__run_5","P007","chez said","run_5","","753"
"P007__qwen-medium__run_5","P007","brik el mida","run_5","","613"
"P007__qwen-medium__run_5","P007","le rami","run_5","","466"
"P007__llama-large__run_1","P007","le grand café du théâtre","run_1","1.0","42"
"P007__llama-large__run_1","P007","la maison de la harissa","run_1","2.0","47"
"P007__llama-large__run_1","P007","le restaurant el ali","run_1","3.0","54"
"P007__llama-large__run_1","P007","le café des nattes","run_1","4.0","39"
"P007__llama-large__run_1","P007","la brikerie","run_1","5.0","87"
"P007__llama-large__run_2","P007","la maison du brik","run_2","1.0","403"
"P007__llama-large__run_2","P007","le café des nattes","run_2","2.0","39"
"P007__llama-large__run_2","P007","la brikerie","run_2","3.0","87"
"P007__llama-large__run_2","P007","le restaurant el ali","run_2","4.0","54"
"P007__llama-large__run_3","P007","le grand café de tunis","run_3","1.0","34"
"P007__llama-large__run_3","P007","le café des nattes","run_3","2.0","39"
"P007__llama-large__run_3","P007","la maison de la harissa","run_3","3.0","47"
"P007__llama-large__run_3","P007","le restaurant el mouradi","run_3","4.0","38"
"P007__llama-large__run_3","P007","le marché central","run_3","5.0","178"
"P007__llama-large__run_4","P007","le grand café du théâtre","run_4","1.0","42"
"P007__llama-large__run_4","P007","le café des nattes","run_4","2.0","39"
"P007__llama-large__run_4","P007","la maison de la harissa","run_4","3.0","47"
"P007__llama-large__run_4","P007","le restaurant el ali","run_4","4.0","54"
"P007__llama-large__run_4","P007","le café de la gare","run_4","5.0","278"
"P007__llama-large__run_5","P007","la maison de la brik","run_5","1.0","55"
"P007__llama-large__run_5","P007","le café des nattes","run_5","2.0","39"
"P007__llama-large__run_5","P007","la brikerie","run_5","3.0","87"
"P007__llama-large__run_5","P007","el ali","run_5","","50"
"P008__llama-small__run_1","P008","dar el jeld","run_1","1.0","52"
"P008__llama-small__run_2","P008","zitouna","run_2","1.0","32"
"P008__llama-small__run_3","P008","dar el jeld","run_3","1.0","52"
"P008__llama-small__run_3","P008","la kasbah","run_3","2.0","74"
"P008__llama-small__run_3","P008","le jardin de la kasbah","run_3","3.0","66"
"P008__llama-small__run_3","P008","la terrasse","run_3","4.0","123"
"P008__llama-small__run_4","P008","el ksar","run_4","2.0","23"
"P008__llama-small__run_5","P008","la medina","run_5","1.0","152"
"P008__llama-small__run_5","P008","al bahja","run_5","2.0","102"
"P008__llama-small__run_5","P008","la kasbah","run_5","3.0","74"
"P008__qwen-medium__run_1","P008","le jardin de l'europe","run_1","1.0","175"
"P008__qwen-medium__run_1","P008","dar el-andalous","run_1","2.0","201"
"P008__qwen-medium__run_1","P008","café de france","run_1","3.0","170"
"P008__qwen-medium__run_1","P008","el andalou","run_1","4.0","137"
"P008__qwen-medium__run_1","P008","dar zitouni","run_1","5.0","111"
"P008__qwen-medium__run_2","P008","dar essaffar","run_2","1.0","178"
"P008__qwen-medium__run_2","P008","la maison de l'espoir","run_2","2.0","159"
"P008__qwen-medium__run_2","P008","le jardin de la medina","run_2","3.0","160"
"P008__qwen-medium__run_2","P008","dar el-kasr","run_2","4.0","398"
"P008__qwen-medium__run_3","P008","le riad de sousse","run_3","1.0","220"
"P008__qwen-medium__run_3","P008","dar chaabane","run_3","2.0","182"
"P008__qwen-medium__run_3","P008","la maison des épices","run_3","3.0","153"
"P008__qwen-medium__run_3","P008","restaurant el jem","run_3","4.0","420"
"P008__qwen-medium__run_4","P008","la maison de la couscous","run_4","1.0","218"
"P008__qwen-medium__run_4","P008","chez ali","run_4","2.0","198"
"P008__qwen-medium__run_4","P008","dar essafra","run_4","3.0","176"
"P008__qwen-medium__run_4","P008","el mouradi","run_4","4.0","160"
"P008__qwen-medium__run_4","P008","le jardin des sens","run_4","5.0","134"
"P008__qwen-medium__run_5","P008","le djerbi","run_5","1.0","1006"
"P008__qwen-medium__run_5","P008","dar jdid","run_5","2.0","493"
"P008__qwen-medium__run_5","P008","sidi mahrez","run_5","3.0","353"
"P008__qwen-medium__run_5","P008","chez ali","run_5","4.0","198"
"P008__llama-large__run_2","P008","dar el jeld","run_2","1.0","52"
"P008__llama-large__run_2","P008","el hana","run_2","2.0","67"
"P008__llama-large__run_2","P008","la maison arabe","run_2","3.0","62"
"P008__llama-large__run_2","P008","le medina","run_2","4.0","199"
"P008__llama-large__run_3","P008","dar el jeld","run_3","1.0","52"
"P008__llama-large__run_3","P008","le grand vefour","run_3","2.0","58"
"P008__llama-large__run_3","P008","la maison arabe","run_3","3.0","62"
"P008__llama-large__run_3","P008","el mouradi","run_3","4.0","160"
"P008__llama-large__run_4","P008","grand restaurant","run_4","","50"
"P008__llama-large__run_4","P008","dar el jem","run_4","2.0","50"
"P008__llama-large__run_4","P008","la maison arabe","run_4","3.0","62"
"P008__llama-large__run_4","P008","le souk","run_4","4.0","48"
"P008__llama-large__run_4","P008","la kasbah","run_4","5.0","74"
"P008__llama-large__run_5","P008","dar el jeld","run_5","1.0","52"
"P008__llama-large__run_5","P008","la maison blanche","run_5","2.0","63"
"P008__llama-large__run_5","P008","el farah","run_5","3.0","48"
"P008__llama-large__run_5","P008","la kasbah","run_5","4.0","74"
"P008__llama-large__run_5","P008","le petit châtelet","run_5","5.0","201"
"P009__llama-small__run_1","P009","dar el-jeld","run_1","1.0","119"
"P009__llama-small__run_2","P009","dar el jeld","run_2","1.0","468"
"P009__llama-small__run_3","P009","dar el jeld","run_3","1.0","468"
"P009__llama-small__run_3","P009","l'aziza","run_3","2.0","77"
"P009__llama-small__run_3","P009","el khayam","run_3","3.0","84"
"P009__llama-small__run_3","P009","sfaxi","run_3","4.0","67"
"P009__llama-small__run_4","P009","el khayami","run_4","1.0","86"
"P009__llama-small__run_4","P009","la maison de la mer","run_4","2.0","98"
"P009__llama-small__run_4","P009","du port","run_4","3.0","89"
"P009__llama-small__run_4","P009","café de la paix","run_4","4.0","73"
"P009__llama-small__run_4","P009","la kasbah","run_4","5.0","118"
"P009__llama-small__run_5","P009","la kasbah","run_5","1.0","118"
"P009__qwen-medium__run_1","P009","dar el jeld","run_1","","468"
"P009__qwen-medium__run_1","P009","restaurant el mouradi","run_1","","213"
"P009__qwen-medium__run_1","P009","le jardin de sousse","run_1","","382"
"P009__qwen-medium__run_2","P009","dar yaacoub","run_2","","0"
"P009__qwen-medium__run_2","P009","le jardin de sousse","run_2","2.0","382"
"P009__qwen-medium__run_3","P009","dar el jeld","run_3","1.0","468"
"P009__qwen-medium__run_3","P009","restaurant el mouradi","run_3","7.0","213"
"P009__qwen-medium__run_4","P009","dar essoukni","run_4","1.0","498"
"P009__qwen-medium__run_4","P009","le jardin de sousse","run_4","2.0","382"
"P009__qwen-medium__run_4","P009","el mouradi","run_4","3.0","327"
"P009__qwen-medium__run_4","P009","la terrasse de la medina","run_4","4.0","377"
"P009__qwen-medium__run_5","P009","la maison de l'artisan","run_5","1.0","710"
"P009__llama-large__run_1","P009","diwan","run_1","1.0","202"
"P009__llama-large__run_2","P009","dar el jazira","run_2","2.0","313"
"P009__llama-large__run_3","P009","diwan","run_3","","202"
"P009__llama-large__run_4","P009","diwan","run_4","6.0","202"
"P009__llama-large__run_5","P009","diwan","run_5","5.0","202"
"P010__llama-small__run_1","P010","dar el jeld","run_1","1.0","69"
"P010__llama-small__run_1","P010","dar hussein","run_1","2.0","51"
"P010__llama-small__run_1","P010","le ksar","run_1","3.0","51"
"P010__llama-small__run_1","P010","la kasbah","run_1","4.0","82"
"P010__llama-small__run_2","P010","dar el jeld","run_2","3.0","69"
"P010__llama-small__run_2","P010","la kasbah","run_2","4.0","82"
"P010__llama-small__run_2","P010","le dar el annabi","run_2","5.0","82"
"P010__llama-small__run_3","P010","dar el jeld","run_3","1.0","69"
"P010__llama-small__run_3","P010","le café des nattes","run_3","2.0","70"
"P010__llama-small__run_4","P010","el aouzou","run_4","","36"
"P010__llama-small__run_4","P010","la kasbah","run_4","","82"
"P010__llama-small__run_4","P010","dar el jeld","run_4","","69"
"P010__llama-small__run_4","P010","la friterie el aouzou","run_4","6.0","87"
"P010__llama-small__run_4","P010","la friterie la kasbah","run_4","7.0","76"
"P010__llama-small__run_5","P010","dar el jeld","run_5","3.0","69"
"P010__llama-small__run_5","P010","dar zarrouk","run_5","4.0","82"
"P010__qwen-medium__run_1","P010","café des arts","run_1","3.0","790"
"P010__qwen-medium__run_1","P010","la gourmandine","run_1","4.0","733"
"P010__qwen-medium__run_1","P010","le jardin","run_1","5.0","679"
"P010__qwen-medium__run_1","P010","dar hicham","run_1","6.0","634"
"P010__qwen-medium__run_1","P010","hostel de l’olivier","run_1","7.0","560"
"P010__qwen-medium__run_1","P010","le jardin des dunes","run_1","8.0","560"
"P010__qwen-medium__run_1","P010","souk el attarine","run_1","1.0","939"
"P010__qwen-medium__run_1","P010","grand marché de tunis","run_1","","877"
"P010__qwen-medium__run_1","P010","souk el-khadra","run_1","9.0","877"
"P010__qwen-medium__run_2","P010","chez ali","run_2","1.0","1074"
"P010__qwen-medium__run_2","P010","le jardin de carthage","run_2","2.0","978"
"P010__qwen-medium__run_2","P010","café des épices","run_2","3.0","890"
"P010__qwen-medium__run_2","P010","la table de l'est","run_2","4.0","794"
"P010__qwen-medium__run_2","P010","dar el jemaa","run_2","5.0","491"
"P010__qwen-medium__run_3","P010","dar ezzahra","run_3","1.0","826"
"P010__qwen-medium__run_3","P010","la maison de la chakchouka","run_3","2.0","756"
"P010__qwen-medium__run_3","P010","restaurant el mourouj","run_3","3.0","675"
"P010__qwen-medium__run_3","P010","chez mme fatma","run_3","4.0","584"
"P010__qwen-medium__run_3","P010","dar jilane","run_3","5.0","532"
"P010__qwen-medium__run_3","P010","dar essouk","run_3","6.0","358"
"P010__qwen-medium__run_3","P010","la maison des épices","run_3","7.0","358"
"P010__qwen-medium__run_4","P010","la maison de chakchouka","run_4","1.0","1388"
"P010__qwen-medium__run_4","P010","dar djerbi","run_4","2.0","1144"
"P010__qwen-medium__run_4","P010","le jardin de carthage","run_4","3.0","978"
"P010__qwen-medium__run_4","P010","café des arts","run_4","4.0","790"
"P010__qwen-medium__run_4","P010","café de la paix","run_4","5.0","726"
"P010__qwen-medium__run_4","P010","le restaurant de la medina","run_4","6.0","475"
"P010__qwen-medium__run_5","P010","la maison du pain","run_5","1.0","1452"
"P010__qwen-medium__run_5","P010","chez sassi","run_5","2.0","1285"
"P010__qwen-medium__run_5","P010","dar el-jeld","run_5","3.0","1158"
"P010__qwen-medium__run_5","P010","les petits pains de sami","run_5","4.0","1021"
"P010__llama-large__run_1","P010","le grand vefour","run_1","1.0","81"
"P010__llama-large__run_1","P010","dar el jeld","run_1","2.0","69"
"P010__llama-large__run_1","P010","m'rabet","run_1","","80"
"P010__llama-large__run_1","P010","le café des nattes","run_1","4.0","70"
"P010__llama-large__run_1","P010","le bistro du coin","run_1","5.0","69"
"P010__llama-large__run_2","P010","le grand vefour","run_2","3.0","81"
"P010__llama-large__run_2","P010","le pacha","run_2","4.0","86"
"P010__llama-large__run_2","P010","la maison arabe","run_2","5.0","86"
"P010__llama-large__run_3","P010","le grand café de la medina","run_3","","0"
"P010__llama-large__run_3","P010","le restaurant el ali","run_3","4.0","110"
"P010__llama-large__run_3","P010","le café des nattes","run_3","5.0","70"
"P010__llama-large__run_4","P010","dar el jeld","run_4","","69"
"P010__llama-large__run_4","P010","el ali","run_4","","70"
"P010__llama-large__run_4","P010","café des nattes","run_4","","32"
"P010__llama-large__run_5","P010","dar el jeld","run_5","1.0","69"
"P010__llama-large__run_5","P010","le grand vefour","run_5","2.0","81"
"P010__llama-large__run_5","P010","le café des nattes","run_5","3.0","70"
"P010__llama-large__run_5","P010","le bistro des artistes","run_5","4.0","85"
"P011__llama-small__run_1","P011","le café des nattes","run_1","3.0","59"
"P011__llama-small__run_3","P011","la sfera","run_3","1.0","63"
"P011__llama-small__run_3","P011","le relais de la marine","run_3","2.0","53"
"P011__llama-small__run_3","P011","le cours de la corniche","run_3","3.0","47"
"P011__llama-small__run_3","P011","la bourse de la mer","run_3","4.0","45"
"P011__llama-small__run_3","P011","le marché de la corniche","run_3","5.0","98"
"P011__llama-small__run_5","P011","le jardin d'azur","run_5","1.0","36"
"P011__llama-small__run_5","P011","le bistrot de la gare","run_5","2.0","33"
"P011__llama-small__run_5","P011","la villa bleue","run_5","3.0","50"
"P011__llama-small__run_5","P011","le comptoir de la mer","run_5","4.0","35"
"P011__llama-small__run_5","P011","la pergola","run_5","5.0","33"
"P011__llama-small__run_5","P011","la villa des palmiers","run_5","6.0","36"
"P011__llama-small__run_5","P011","le jardin d'été","run_5","7.0","78"
"P011__qwen-medium__run_1","P011","restaurant el mouradi","run_1","1.0","1205"
"P011__qwen-medium__run_1","P011","la table de marsa","run_1","2.0","1047"
"P011__qwen-medium__run_1","P011","café de l'union","run_1","3.0","888"
"P011__qwen-medium__run_1","P011","jardin de marsa","run_1","4.0","734"
"P011__qwen-medium__run_1","P011","le port de marsa","run_1","5.0","581"
"P011__qwen-medium__run_1","P011","green garden","run_1","6.0","430"
"P011__qwen-medium__run_2","P011","la perle de la mer","run_2","3.0","140"
"P011__qwen-medium__run_2","P011","chez ali","run_2","4.0","113"
"P011__qwen-medium__run_2","P011","le jardin de marsa","run_2","5.0","725"
"P011__qwen-medium__run_2","P011","café de la plage","run_2","6.0","154"
"P011__qwen-medium__run_2","P011","dar el jeld","run_2","7.0","86"
"P011__qwen-medium__run_2","P011","le restaurant du palais el jeld","run_2","8.0","104"
"P011__qwen-medium__run_2","P011","ouzini","run_2","9.0","120"
"P011__qwen-medium__run_2","P011","al kram","run_2","10.0","396"
"P011__qwen-medium__run_3","P011","le jardin de carthage","run_3","1.0","86"
"P011__qwen-medium__run_3","P011","la table de carthage","run_3","2.0","79"
"P011__qwen-medium__run_3","P011","le comptoir de la marsa","run_3","3.0","79"
"P011__qwen-medium__run_3","P011","pizzeria da vinci","run_3","4.0","76"
"P011__qwen-medium__run_3","P011","le palais de la marsa","run_3","5.0","72"
"P011__qwen-medium__run_3","P011","la végétal","run_3","6.0","51"
"P011__qwen-medium__run_3","P011","café du soleil","run_3","7.0","64"
"P011__qwen-medium__run_4","P011","le jardin de marsa","run_4","1.0","725"
"P011__qwen-medium__run_4","P011","chez ali (la marsa)","run_4","2.0","1152"
"P011__qwen-medium__run_4","P011","la perle","run_4","3.0","1104"
"P011__qwen-medium__run_4","P011","café de france","run_4","4.0","806"
"P011__qwen-medium__run_4","P011","le mirage","run_4","5.0","640"
"P011__qwen-medium__run_4","P011","restaurant le cap","run_4","6.0","486"
"P011__qwen-medium__run_5","P011","le jardin de la marsa","run_5","2.0","1866"
"P011__qwen-medium__run_5","P011","café de la marsa","run_5","4.0","1544"
"P011__qwen-medium__run_5","P011","la perle","run_5","6.0","1104"
"P011__qwen-medium__run_5","P011","rendez-vous","run_5","9.0","802"
"P011__qwen-medium__run_5","P011","le jardin des sens","run_5","10.0","662"
"P011__qwen-medium__run_5","P011","la table de la marsa","run_5","11.0","334"
"P011__llama-large__run_1","P011","le grand bleu","run_1","1.0","52"
"P011__llama-large__run_1","P011","la villa bleue","run_1","2.0","50"
"P011__llama-large__run_1","P011","le comptoir du lac","run_1","3.0","52"
"P011__llama-large__run_1","P011","la maison arabe","run_1","4.0","57"
"P011__llama-large__run_1","P011","le bistrot du coin","run_1","5.0","43"
"P011__llama-large__run_1","P011","le restaurant de l'hôtel la marsa","run_1","6.0","54"
"P011__llama-large__run_1","P011","le café des nattes","run_1","7.0","59"
"P011__llama-large__run_2","P011","le grand café de la marsa","run_2","1.0","50"
"P011__llama-large__run_2","P011","la villa bleue","run_2","2.0","50"
"P011__llama-large__run_2","P011","le restaurant de la plage","run_2","3.0","39"
"P011__llama-large__run_2","P011","le bistrot de la marsa","run_2","4.0","63"
"P011__llama-large__run_2","P011","la maison de la méditerranée","run_2","5.0","33"
"P011__llama-large__run_2","P011","le café des nattes","run_2","6.0","59"
"P011__llama-large__run_2","P011","le restaurant al fassia","run_2","7.0","40"
"P011__llama-large__run_2","P011","le bistro du coin","run_2","8.0","132"
"P011__llama-large__run_3","P011","le golfe","run_3","1.0","60"
"P011__llama-large__run_3","P011","la villa bleue","run_3","2.0","50"
"P011__llama-large__run_3","P011","le petit château","run_3","3.0","58"
"P011__llama-large__run_3","P011","la maison arabe","run_3","4.0","57"
"P011__llama-large__run_3","P011","le café de la plage","run_3","5.0","52"
"P011__llama-large__run_3","P011","la table de la méditerranée","run_3","6.0","60"
"P011__llama-large__run_3","P011","le bistrot de la marsa","run_3","7.0","63"
"P011__llama-large__run_4","P011","le grand bleu","run_4","1.0","52"
"P011__llama-large__run_4","P011","la villa bleue","run_4","2.0","50"
"P011__llama-large__run_4","P011","le café de la plage","run_4","3.0","52"
"P011__llama-large__run_4","P011","le restaurant de la marina","run_4","4.0","53"
"P011__llama-large__run_4","P011","la maison arabe","run_4","5.0","57"
"P011__llama-large__run_4","P011","le bistrot de la marsa","run_4","6.0","63"
"P011__llama-large__run_4","P011","le restaurant le corail","run_4","7.0","85"
"P011__llama-large__run_5","P011","le grand café de la marsa","run_5","1.0","50"
"P011__llama-large__run_5","P011","la villa bleue","run_5","2.0","50"
"P011__llama-large__run_5","P011","le bistrot de la marsa","run_5","3.0","63"
"P011__llama-large__run_5","P011","dar el jeld","run_5","4.0","86"
"P011__llama-large__run_5","P011","la maison de la mer","run_5","5.0","55"
"P011__llama-large__run_5","P011","le café des nattes","run_5","6.0","59"
"P011__llama-large__run_5","P011","la table de la marsa","run_5","7.0","334"
"P012__llama-small__run_1","P012","restaurant ksar habs","run_1","1.0","163"
"P012__llama-small__run_2","P012","dar el jeld","run_2","1.0","217"
"P012__llama-small__run_2","P012","la kasbah","run_2","2.0","75"
"P012__llama-small__run_2","P012","la perle","run_2","3.0","66"
"P012__llama-small__run_5","P012","dar el jeld","run_5","1.0","217"
"P012__llama-small__run_5","P012","le restaurant la villa","run_5","4.0","94"
"P012__llama-small__run_5","P012","le restaurant al khayam","run_5","5.0","47"
"P012__qwen-medium__run_1","P012","el hout","run_1","1.0","16"
"P012__qwen-medium__run_1","P012","chez amina","run_1","2.0","18"
"P012__qwen-medium__run_1","P012","dar al-ma3mou3","run_1","3.0","10"
"P012__qwen-medium__run_1","P012","la perle","run_1","4.0","66"
"P012__qwen-medium__run_1","P012","la maison de l'oncle","run_1","5.0","19"
"P012__qwen-medium__run_1","P012","le jardin de carthage","run_1","6.0","510"
"P012__qwen-medium__run_1","P012","café des arts","run_1","7.0","62"
"P012__qwen-medium__run_1","P012","la table de sousse","run_1","8.0","12"
"P012__qwen-medium__run_1","P012","le bistrot du port","run_1","9.0","18"
"P012__qwen-medium__run_1","P012","boulangerie el atrache","run_1","10.0","19"
"P012__qwen-medium__run_1","P012","café des nattes","run_1","11.0","34"
"P012__qwen-medium__run_2","P012","le jardin de carthage","run_2","1.0","510"
"P012__qwen-medium__run_2","P012","café de paris","run_2","2.0","652"
"P012__qwen-medium__run_2","P012","la marine","run_2","","555"
"P012__qwen-medium__run_2","P012","chez ali","run_2","","914"
"P012__qwen-medium__run_2","P012","chez bachir","run_2","","914"
"P012__qwen-medium__run_2","P012","le clos de sousse","run_2","5.0","753"
"P012__qwen-medium__run_2","P012","green garden","run_2","","605"
"P012__qwen-medium__run_2","P012","la terrasse du jardin","run_2","","605"
"P012__qwen-medium__run_2","P012","dar el jeld","run_2","","217"
"P012__qwen-medium__run_2","P012","dar el khemis","run_2","","436"
"P012__qwen-medium__run_3","P012","la maison des saveurs","run_3","1.0","125"
"P012__qwen-medium__run_3","P012","le jardin de carthage","run_3","2.0","510"
"P012__qwen-medium__run_3","P012","la terrasse du port","run_3","3.0","128"
"P012__qwen-medium__run_3","P012","dar el jeld","run_3","4.0","217"
"P012__qwen-medium__run_3","P012","café des arts","run_3","5.0","62"
"P012__qwen-medium__run_3","P012","le bistrot de sousse","run_3","6.0","101"
"P012__qwen-medium__run_3","P012","restaurant el bostan","run_3","7.0","110"
"P012__qwen-medium__run_3","P012","la table de l'hippodrome","run_3","8.0","0"
"P012__qwen-medium__run_3","P012","dar essalam","run_3","9.0","108"
"P012__qwen-medium__run_3","P012","le café des nuits","run_3","10.0","531"
"P012__qwen-medium__run_4","P012","dar el jeld","run_4","1.0","217"
"P012__qwen-medium__run_4","P012","chez sami","run_4","2.0","81"
"P012__qwen-medium__run_4","P012","la table du marché","run_4","3.0","76"
"P012__qwen-medium__run_4","P012","restaurant du palais de sousse","run_4","4.0","85"
"P012__qwen-medium__run_4","P012","la perle","run_4","5.0","66"
"P012__qwen-medium__run_4","P012","le jardin des roses","run_4","6.0","156"
"P012__qwen-medium__run_4","P012","le bistrot de la mer","run_4","7.0","53"
"P012__qwen-medium__run_4","P012","la maison de la mer","run_4","8.0","425"
"P012__qwen-medium__run_5","P012","la terrasse","run_5","1.0","668"
"P012__qwen-medium__run_5","P012","dar el jeld","run_5","2.0","217"
"P012__qwen-medium__run_5","P012","le jardin des sens","run_5","3.0","940"
"P012__qwen-medium__run_5","P012","le clos des sables","run_5","4.0","781"
"P012__qwen-medium__run_5","P012","al fassia","run_5","5.0","648"
"P012__qwen-medium__run_5","P012","le café de paris","run_5","6.0","519"
"P012__qwen-medium__run_5","P012","bistrot de la mer","run_5","7.0","409"
"P012__llama-large__run_1","P012","dar el jeld","run_1","1.0","217"
"P012__llama-large__run_1","P012","la maison arabe","run_1","2.0","52"
"P012__llama-large__run_1","P012","le petit château","run_1","3.0","55"
"P012__llama-large__run_1","P012","la mer","run_1","4.0","46"
"P012__llama-large__run_1","P012","le poisson rouge","run_1","5.0","56"
"P012__llama-large__run_1","P012","la côte d'azur","run_1","6.0","54"
"P012__llama-large__run_2","P012","dar el jeld","run_2","1.0","217"
"P012__llama-large__run_2","P012","la medina","run_2","","0"
"P012__llama-large__run_2","P012","el farouk","run_2","3.0","43"
"P012__llama-large__run_2","P012","la kasbah","run_2","4.0","75"
"P012__llama-large__run_2","P012","le pirate","run_2","5.0","51"
"P012__llama-large__run_2","P012","la maison arabe","run_2","6.0","52"
"P012__llama-large__run_2","P012","cafe des nattes","run_2","","0"
"P012__llama-large__run_3","P012","dar el jeld","run_3","1.0","217"
"P012__llama-large__run_3","P012","la maison blanche","run_3","2.0","61"
"P012__llama-large__run_3","P012","le pirate","run_3","3.0","51"
"P012__llama-large__run_3","P012","la grotte","run_3","4.0","53"
"P012__llama-large__run_3","P012","le relais","run_3","5.0","57"
"P012__llama-large__run_3","P012","la kasbah","run_3","6.0","75"
"P012__llama-large__run_3","P012","le café de la république","run_3","7.0","56"
"P012__llama-large__run_3","P012","la terrasse","run_3","8.0","668"
"P012__llama-large__run_3","P012","le bistrot","run_3","9.0","47"
"P012__llama-large__run_3","P012","la maison de la médina","run_3","10.0","127"
"P012__llama-large__run_4","P012","dar el jeld","run_4","1.0","217"
"P012__llama-large__run_4","P012","la maison blanche","run_4","2.0","61"
"P012__llama-large__run_4","P012","café de paris","run_4","3.0","652"
"P012__llama-large__run_4","P012","le pirate","run_4","4.0","51"
"P012__llama-large__run_4","P012","el farah","run_4","5.0","69"
"P012__llama-large__run_4","P012","la villa","run_4","6.0","62"
"P012__llama-large__run_4","P012","le calypso","run_4","7.0","153"
"P012__llama-large__run_5","P012","dar el jeld","run_5","1.0","217"
"P012__llama-large__run_5","P012","el mouradi","run_5","2.0","33"
"P012__llama-large__run_5","P012","café des nattes","run_5","3.0","34"
"P012__llama-large__run_5","P012","le poisson bleu","run_5","4.0","30"
"P012__llama-large__run_5","P012","la marine","run_5","5.0","555"
"P012__llama-large__run_5","P012","le pirate","run_5","6.0","51"
"P013__llama-small__run_1","P013","dar el jeld","run_1","1.0","414"
"P013__llama-small__run_1","P013","chez slama","run_1","2.0","50"
"P013__llama-small__run_1","P013","el akkad","run_1","3.0","48"
"P013__llama-small__run_1","P013","la kasbah","run_1","4.0","72"
"P013__llama-small__run_1","P013","le jardin de l'agdal","run_1","5.0","61"
"P013__llama-small__run_1","P013","la zalabia","run_1","6.0","56"
